date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:04	94786/94786	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217242-66310bdd-fbfff9bf07dbd618;gz%22	https://flxps.shop/flips/js/bootstrap.min.js	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/js/bootstrap.min.js	(from https://flxps.shop/flips/index.html)
19:02:05	3381/3381	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d35-66310bde-10a4afd414aa0f3c;gz%22	https://flxps.shop/flips/js/jquery.lazyload.min.js	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/js/jquery.lazyload.min.js	(from https://flxps.shop/flips/index.html)
19:02:05	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be5-1321dd0c5f1072b;gz%22	https://flxps.shop/flips/assets/images/theme/search.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/assets/images/theme/search.html	(from https://flxps.shop/flips/index.html)
19:02:05	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310bd9-84fdc2df14f029cc;gz%22	https://flxps.shop/flips/a.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/a.html	(from https://flxps.shop/flips/js/fbevents.js)
19:02:06	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310bda-be2d5c771c6caf07;gz%22	https://flxps.shop/flips/POST.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/POST.html	(from https://flxps.shop/flips/js/fbevents.js)
19:02:06	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310bda-646ef6139f0eb099;gz%22	https://flxps.shop/flips/schema.org/index.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/schema.org/index.html	(from https://flxps.shop/flips/js/fbevents.js)
19:02:06	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310bd9-a870997171568778;gz%22	https://flxps.shop/flips/b.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/b.html	(from https://flxps.shop/flips/js/fbevents.js)
19:02:06	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310bda-beb817d326268260;gz%22	https://flxps.shop/flips/signals/iwl.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/signals/iwl.html	(from https://flxps.shop/flips/js/fbevents.js)
19:02:07	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65f42a7f-4c301b59bee0b232;gz%22	https://flxps.shop/flips/index-2.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/index-2.html	(from https://flxps.shop/flips/css/bootstrap.min.css)
19:02:07	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be3-8a309898ced40abe;gz%22	https://flxps.shop/flips/fonts/Mier_B02-Bold.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/fonts/Mier_B02-Bold.html	(from https://flxps.shop/flips/css/custom.css)
19:02:07	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be3-f6ad950a8c79cd8;gz%22	https://flxps.shop/flips/fonts/Mier_B02-Bold-2.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/fonts/Mier_B02-Bold-2.html	(from https://flxps.shop/flips/css/custom.css)
19:02:08	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be3-812de118b0451d31;gz%22	https://flxps.shop/flips/fonts/Mier_B02-Bold-3.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/fonts/Mier_B02-Bold-3.html	(from https://flxps.shop/flips/css/custom.css)
19:02:08	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be3-e4a39e4d274c31d7;gz%22	https://flxps.shop/flips/fonts/Mier_B02-Book.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/fonts/Mier_B02-Book.html	(from https://flxps.shop/flips/css/custom.css)
19:02:08	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be3-a9d3231dc4476267;gz%22	https://flxps.shop/flips/fonts/Mier_B02-Book-2.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/fonts/Mier_B02-Book-2.html	(from https://flxps.shop/flips/css/custom.css)
19:02:08	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be3-3004c155b11fc4ea;gz%22	https://flxps.shop/flips/fonts/Mier_B02-Demi.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/fonts/Mier_B02-Demi.html	(from https://flxps.shop/flips/css/custom.css)
19:02:08	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be3-c78f5c871416c29b;gz%22	https://flxps.shop/flips/fonts/Mier_B02-Demi-2.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/fonts/Mier_B02-Demi-2.html	(from https://flxps.shop/flips/css/custom.css)
19:02:09	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be3-981ce892b9be8051;gz%22	https://flxps.shop/flips/fonts/Mier_B02-Demi-3.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/fonts/Mier_B02-Demi-3.html	(from https://flxps.shop/flips/css/custom.css)
19:02:09	2457/2457	---M-Z	200	added ('OK')	text/html	etag:%22999-66310be4-412adcb8be28f117;gz%22	https://flxps.shop/flips/css/..assets/images/search.html	C:/Users/gujra/OneDrive/Desktop/Templates/flipshop/flxps.shop/flips/css/..assets/images/search.html	(from https://flxps.shop/flips/css/custom.css)
